疫情序号,时间,省份,显示地点,累计感染（人）,累计出院（人）,在治重症（人）,累计死亡（人）,
816,2020/1/27,内蒙古,通辽,1,,,,
817,2020/1/27,内蒙古,赤峰,1,,,,
818,2020/1/27,内蒙古,锡林郭勒,2,,,,
819,2020/1/27,内蒙古,鄂尔多斯,2,,,,
820,2020/1/27,香港,香港,8,,,,
821,2020/1/27,贵州,贵阳,1,,,,
822,2020/1/27,贵州,六盘水,1,,,,
823,2020/1/27,贵州,铜仁,2,,,,
824,2020/1/27,贵州,黔南,2,,,,
825,2020/1/27,贵州,黔西南,1,,,,
826,2020/1/27,澳门,澳门,6,,,,
827,2020/1/27,吉林,长春,1,,,,
828,2020/1/27,吉林,吉林,2,,,,
829,2020/1/27,吉林,松原,2,,,,
830,2020/1/27,吉林,四平,1,,,,
831,2020/1/27,新疆,乌鲁木齐,4,,1,,
832,2020/1/27,新疆,伊犁,1,,,,
833,2020/1/27,宁夏,银川,2,,,,
834,2020/1/27,宁夏,中卫,1,,,,
835,2020/1/27,宁夏,固原,1,,,,
836,2020/1/27,台湾,台湾,4,,,,
837,2020/1/27,青海,西宁,4,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
